Gute Nacht!	Bonne nuit.

die Grüße	les amitiés
Schöne Grüße an deinen Mann!	Mes amitiés à ton mari!

das Küsschen	la bise
Ich begrüße meine Freunde mit Küsschen.	Moi, je fais la bise à mes amis.

Bis gleich!	À tout à l'heure!

Willkommen!	Bienvenue!

Sehr erfreut!	Enchanté!

Leb wohl!	Adieu!

Schönen Tag!	Bonne journée!
Schönen Abend!	Bonne soirée!

Danke, gut!	Bien merci!

Nehmen Sie doch bitte Platz!	Prenez place, je vous en prie!

Ich hätte gern...	Je voudrais...

Möchtest du...?	Est-ce que tu veux...?

Was ist los?	Qu'est qui se passe?

Bedienen Sie sich!	Servez-vous!
Bedien dich!	Sers-toi!

Ich glaube schon.	Je pense que oui.
Ich auch nicht.	Moi non plus.

Hoffentlich!	J'espère bien!
Nicht wahr?	N'est-ce pas?
Geschafft!	Ça y est!
Umso besser!	Tant mieux!
Schade!	Tant pis!
Genau!	C'est ça!

also	eh bien
Also, beeilst du dich?	Eh bien, tu te dépêches?

oder / nicht wahr	hein
Du bist mir nicht böse, oder?	Tu ne m'en veux pas, hein?

Oje!	Oh là là!

sag mal / sie mal an	tiens
Sag mal, weißt du schon das Neueste?	Tiens, tu sais la nouvelle?

Kein Problem!	Pas de problème!

Mist!	Zut!

Danke, das genügt.	merci, ça suffit.

Ach ja?	A bon?

Schade!	Dommage!

Hinaus!	Dehors!

Mit Vergnügen!	Avec plaisir!


